=== GROUP RULES ===
RuleID,TallyGroupName,TallyParentGroup,MapsToCode,MapsToDescription,Notes
GM001,"Capital Account","Primary",EL-SHF-SC-EQ,"Equity Share Capital","For proprietorship/partnership, use Partners Capital"
GM002,"Share Capital","Capital Account",EL-SHF-SC-EQ,"Equity Share Capital",""
GM003,"Reserves & Surplus","Capital Account",EL-SHF-RS-PL,"Surplus (Profit & Loss Account)","Default to P&L unless specific reserve"
GM004,"Retained Earnings","Reserves & Surplus",EL-SHF-RS-PL,"Surplus (Profit & Loss Account)",""
GM005,"Secured Loans","Loans (Liability)",EL-NCL-LTB-TL,"Term Loans from Banks","Verify current/non-current split"
GM006,"Unsecured Loans","Loans (Liability)",EL-NCL-LTB-OT,"Other Long-term Borrowings","Verify current/non-current split"
GM007,"Bank OD A/c","Loans (Liability)",EL-CL-STB-CC,"Cash Credit/Overdraft from Banks","Current liability by nature"
GM008,"Bank OCC A/c","Loans (Liability)",EL-CL-STB-CC,"Cash Credit/Overdraft from Banks","Current liability by nature"
GM009,"Sundry Creditors","Current Liabilities",EL-CL-TP-OTH,"Trade Payables - Due to Others","Check for MSME creditors"
GM010,"Duties & Taxes","Current Liabilities",EL-CL-OCL-SD,"Statutory Dues Payable",""
GM011,"Provisions","Current Liabilities",EL-CL-STP-OT,"Other Provisions","Verify short-term vs long-term"
GM012,"Fixed Assets","Primary",AS-NCA-PPE,"Property, Plant and Equipment","Map to specific asset types"
GM013,"Land","Fixed Assets",AS-NCA-PPE-LA,"Land",""
GM014,"Buildings","Fixed Assets",AS-NCA-PPE-BU,"Buildings",""
GM015,"Plant & Machinery","Fixed Assets",AS-NCA-PPE-PM,"Plant and Machinery",""
GM016,"Furniture & Fixtures","Fixed Assets",AS-NCA-PPE-FU,"Furniture and Fixtures",""
GM017,"Vehicles","Fixed Assets",AS-NCA-PPE-VE,"Vehicles",""
GM018,"Office Equipment","Fixed Assets",AS-NCA-PPE-OF,"Office Equipment",""
GM019,"Computer Equipment","Fixed Assets",AS-NCA-PPE-CO,"Computers",""
GM020,"Computers","Fixed Assets",AS-NCA-PPE-CO,"Computers",""
GM021,"Investments","Primary",AS-NCA-NCI,"Non-Current Investments","Verify current vs non-current"
GM022,"Stock-in-Hand","Current Assets",AS-CA-INV,"Inventories",""
GM023,"Raw Materials","Stock-in-Hand",AS-CA-INV-RM,"Raw Materials",""
GM024,"Work-in-Progress","Stock-in-Hand",AS-CA-INV-WIP,"Work-in-Progress",""
GM025,"Finished Goods","Stock-in-Hand",AS-CA-INV-FG,"Finished Goods",""
GM026,"Stores & Spares","Stock-in-Hand",AS-CA-INV-SP,"Stores and Spares",""
GM027,"Sundry Debtors","Current Assets",AS-CA-TR-USEC,"Trade Receivables - Unsecured",""
GM028,"Cash-in-Hand","Current Assets",AS-CA-CCE-COH,"Cash on Hand",""
GM029,"Bank Accounts","Current Assets",AS-CA-CCE-BB,"Balances with Banks",""
GM030,"Bank OD A/c","Current Assets",AS-CA-CCE-BB,"Balances with Banks","Net off with OD if same bank"
GM031,"Loans & Advances (Asset)","Current Assets",AS-CA-STLA,"Short-term Loans and Advances","Verify current vs non-current"
GM032,"Deposits (Asset)","Current Assets",AS-NCA-LTLA-SD,"Security Deposits","Usually non-current"
GM033,"Sales Accounts","Primary",INC-RFO-SG,"Sale of Goods",""
GM034,"Direct Incomes","Primary",INC-RFO-OOR,"Other Operating Revenue",""
GM035,"Indirect Incomes","Primary",INC-OI-OT,"Other Non-Operating Income",""
GM036,"Purchase Accounts","Primary",EXP-CMC-RM,"Raw Materials Consumed","For manufacturing companies"
GM037,"Direct Expenses","Primary",EXP-OE-MFG,"Manufacturing Expenses",""
GM038,"Indirect Expenses","Primary",EXP-OE-MISC,"Miscellaneous Expenses","Map to specific expense types"
GM039,"Salary","Indirect Expenses",EXP-EBE-SAL,"Salaries and Wages",""
GM040,"Rent","Indirect Expenses",EXP-OE-RENT,"Rent",""
GM041,"Depreciation","Indirect Expenses",EXP-DA-DEP,"Depreciation on PPE",""
GM042,"Interest Paid","Indirect Expenses",EXP-FC-INT,"Interest Expense",""

=== KEYWORD RULES ===
RuleID,KeywordPattern,MatchType,MapsToCode,MapsToDescription,Priority
KW001,"MSME","Contains",EL-CL-TP-MSME,"Trade Payables - Due to MSME",95
